"caso_id","llamante_descripcion","llamante_genero","llamante_vinculo_ninios_presentes","violencia_tipo","victima_edad","victima_rango_etario","victima_genero","victima_cantidad","agresor_cantidad","agresor_genero","agresor_relacion_victima","llamado_derivacion","llamado_fecha_hora","llamado_provincia","llamado_provincia_id"
"410740","Vecina/o","Femenino","Sin datos","Psicológica","Sin dato","Sin dato","Femenino","1","0","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-01-01 23:35:00","Ciudad Autónoma de Buenos Aires","02"
"410741","Otro/a Particular","Femenino","Otra/o no familiar","Física y psicológica","Sin dato","Sin dato","Femenino","1","1","Masculino","Pareja","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-01-02 07:58:00","Ciudad Autónoma de Buenos Aires","02"
"410742","Víctima","Femenino","No hay niñas/os","Física y psicológica","34","30 a 39 años","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-01-02 09:37:00","Ciudad Autónoma de Buenos Aires","02"
"410660","NS/NC","Femenino","Sin datos","Física y psicológica","Sin dato","Sin dato","Femenino","1","1","Femenino","Padrastro","Desplazamiento de un Equipo Móvil a donde se encontraba la/s víctima/s","2019-01-02 09:37:00","Ciudad Autónoma de Buenos Aires","02"
"410713","Profesionales de la Línea 137","NS/NC","Sin datos","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Comunicación con Equipos Móviles","2019-01-02 09:49:00","Ciudad Autónoma de Buenos Aires","02"
"410744","Comisaría","Femenino","No hay niñas/os","Física y psicológica","18","18 a 29 años","Femenino","1","1","Masculino","Ex pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-01-02 11:03:00","Ciudad Autónoma de Buenos Aires","02"
"410659","Víctima","Femenino","Sin datos","Física y psicológica","32","30 a 39 años","Femenino","1","1","Masculino","Pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-01-02 11:46:00","Ciudad Autónoma de Buenos Aires","02"
"410745","Comisaría","Masculino","Otra/o no familiar","Física y psicológica","11","6 a 11 años","Masculino","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-01-02 13:01:00","Ciudad Autónoma de Buenos Aires","02"
"410746","Familiar","Masculino","Otra/o familiar","Psicológica","74","Más de 60 años","Femenino","1","1","Masculino","Hijo/a","La víctima no aceptó la intervención del Equipo Móvil","2019-01-02 13:05:00","Ciudad Autónoma de Buenos Aires","02"
"410747","Comisaría","Masculino","No hay niñas/os","Psicológica","40","40 a 49 años","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-01-02 15:37:00","Ciudad Autónoma de Buenos Aires","02"
"410748","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","75","Más de 60 años","Femenino","1","1","Masculino","Hijo/a","Llamante solicitó información y/o orientación","2019-01-02 16:18:00","Ciudad Autónoma de Buenos Aires","02"
"410097","Vecina/o","Masculino","Otra/o no familiar","Física y psicológica","Sin dato","Sin dato","Transgénero","2","2","Transgénero","Padrastro","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-01-02 16:36:00","Ciudad Autónoma de Buenos Aires","02"
"410749","Familiar","Femenino","Otra/o familiar","Física y psicológica","14","12 a 17 años","Masculino","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-01-02 18:51:00","Ciudad Autónoma de Buenos Aires","02"
"410750","Vecina/o","Femenino","Otra/o no familiar","Psicológica","Sin dato","Sin dato","NS/NC","2","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-01-02 20:32:00","Ciudad Autónoma de Buenos Aires","02"
"410751","Familiar","Femenino","Otra/o familiar","Física y psicológica","Sin dato","Sin dato","Femenino","2","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-01-02 21:05:00","Ciudad Autónoma de Buenos Aires","02"
"410752","Otra/o sobre una situación de conflicto familiar","Femenino","Otra/o familiar","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2019-01-02 21:37:00","Ciudad Autónoma de Buenos Aires","02"
"410753","Comisaría","Masculino","Otra/o no familiar","Física y psicológica","30","30 a 39 años","Femenino","4","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-01-02 21:45:00","Ciudad Autónoma de Buenos Aires","02"
"410754","Víctima","Femenino","No hay niñas/os","Psicológica","38","30 a 39 años","Femenino","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-01-02 21:52:00","Ciudad Autónoma de Buenos Aires","02"
"410755","Comisaría","Femenino","No hay niñas/os","Física y psicológica","21","18 a 29 años","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-01-02 22:12:00","Ciudad Autónoma de Buenos Aires","02"
"410756","Víctima","Femenino","Otra/o familiar","Psicológica","19","18 a 29 años","Femenino","3","1","Masculino","Padre","Llamante solicitó información y/o orientación","2019-01-02 22:52:00","Ciudad Autónoma de Buenos Aires","02"
"410757","Otra/o sobre una situación de conflicto familiar","Femenino","Otra/o familiar","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2019-01-02 23:37:00","Ciudad Autónoma de Buenos Aires","02"
"410758","Víctima","Femenino","Madre","Física y psicológica","Sin dato","Sin dato","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-01-02 23:56:00","Ciudad Autónoma de Buenos Aires","02"
"410759","Comisaría","Masculino","Otra/o no familiar","Física y psicológica","15","12 a 17 años","Femenino","1","1","Femenino","Madre","Desplazamiento de un Equipo Móvil a donde se encontraba la/s víctima/s","2019-01-02 23:58:00","Ciudad Autónoma de Buenos Aires","02"
"410760","Comisaría","Masculino","Otra/o no familiar","Física y psicológica","28","18 a 29 años","Femenino","3","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-01-03 00:32:00","Ciudad Autónoma de Buenos Aires","02"
"410761","Familiar","Masculino","Otra/o familiar","Física y psicológica","17","12 a 17 años","Femenino","2","1","Masculino","Padre","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-01-03 01:36:00","Ciudad Autónoma de Buenos Aires","02"
"410781","Otra/o sobre una situación de conflicto familiar","Femenino","Madre","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2019-01-03 10:10:00","Ciudad Autónoma de Buenos Aires","02"
"410787","Víctima","Femenino","Madre","Psicológica","Sin dato","Sin dato","Femenino","1","1","Masculino","Ex pareja","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-01-03 11:32:00","Ciudad Autónoma de Buenos Aires","02"
"410788","Víctima","Masculino","No hay niñas/os","Física y psicológica","19","18 a 29 años","Masculino","1","1","Masculino","Hermano/a","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-01-03 11:48:00","Ciudad Autónoma de Buenos Aires","02"
"410790","Víctima","Femenino","No hay niñas/os","Física y psicológica","57","50 a 59 años","Femenino","1","1","Masculino","Ex pareja","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-01-03 12:04:00","Ciudad Autónoma de Buenos Aires","02"
"410793","Víctima","Femenino","Madre","Física y psicológica","43","40 a 49 años","Femenino","1","1","Masculino","Pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-01-03 13:39:00","Ciudad Autónoma de Buenos Aires","02"
"410794","Comisaría","Femenino","No hay niñas/os","Psicológica","26","18 a 29 años","Femenino","1","1","Masculino","Pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-01-03 15:05:00","Ciudad Autónoma de Buenos Aires","02"
"410553","Familiar","Masculino","Padre","Psicológica","13","12 a 17 años","Masculino","1","1","Femenino","Madre","No había móviles y/o Equipos para realizar la intervención","2019-01-03 15:49:00","Ciudad Autónoma de Buenos Aires","02"
"410795","Familiar","Masculino","Sin datos","Psicológica","16","12 a 17 años","Femenino","1","1","Masculino","Padre","Llamante solicitó información y/o orientación","2019-01-03 18:07:00","Ciudad Autónoma de Buenos Aires","02"
"410796","Comisaría","Femenino","No hay niñas/os","Psicológica","59","50 a 59 años","Femenino","1","1","Masculino","Hijo/a","Llamante solicitó información y/o orientación","2019-01-03 18:54:00","Ciudad Autónoma de Buenos Aires","02"
"374184","Comisaría","Masculino","No hay niñas/os","Psicológica","30","30 a 39 años","Femenino","1","1","Masculino","Ex pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-01-03 19:05:00","Ciudad Autónoma de Buenos Aires","02"
"410799","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","37","30 a 39 años","Femenino","1","1","Femenino","Otro/a no conviviente","La víctima no aceptó la intervención del Equipo Móvil","2019-01-03 21:50:00","Ciudad Autónoma de Buenos Aires","02"
"410800","Víctima","Femenino","Madre","Psicológica","Sin dato","Sin dato","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-01-03 22:57:00","Ciudad Autónoma de Buenos Aires","02"
"410109","Profesionales de la Línea 137","NS/NC","Sin datos","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Comunicación con Equipos Móviles","2019-01-03 23:38:00","Ciudad Autónoma de Buenos Aires","02"
"410153","Profesionales de la Línea 137","NS/NC","Sin datos","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Comunicación con Equipos Móviles","2019-01-03 23:40:00","Ciudad Autónoma de Buenos Aires","02"
"409951","Profesionales de la Línea 137","NS/NC","Sin datos","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Comunicación con Equipos Móviles","2019-01-03 23:42:00","Ciudad Autónoma de Buenos Aires","02"
"409951","Víctima","Masculino","No hay niñas/os","Psicológica","43","40 a 49 años","Masculino","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-01-04 00:05:00","Ciudad Autónoma de Buenos Aires","02"
"410801","Familiar","Femenino","No hay niñas/os","Física y psicológica","80","Más de 60 años","Femenino","1","1","Masculino","Hijo/a","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-01-04 00:05:00","Ciudad Autónoma de Buenos Aires","02"
"410802","Vecina/o","Femenino","Sin datos","Física y psicológica","6","6 a 11 años","Masculino","3","1","Femenino","Madre","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-01-04 00:12:00","Ciudad Autónoma de Buenos Aires","02"
"410803","Comisaría","Femenino","Padre","Física y psicológica","36","30 a 39 años","Masculino","1","1","Masculino","Hermano/a","Llamante solicitó información y/o orientación","2019-01-04 00:25:00","Ciudad Autónoma de Buenos Aires","02"
"405495","Otra/o sobre una situación de conflicto familiar","Femenino","No hay niñas/os","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2019-01-04 00:41:00","Ciudad Autónoma de Buenos Aires","02"
"347846","Víctima","Femenino","No hay niñas/os","Psicológica","Sin dato","Sin dato","Femenino","1","1","Masculino","Otro/a no conviviente","Llamante solicitó información y/o orientación","2019-01-04 00:48:00","Ciudad Autónoma de Buenos Aires","02"
"410805","Comisaría","Masculino","No hay niñas/os","Física y psicológica","30","30 a 39 años","Femenino","1","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-01-04 10:42:00","Ciudad Autónoma de Buenos Aires","02"
"410807","Comisaría","Masculino","Otra/o no familiar","Física y psicológica","41","40 a 49 años","Femenino","3","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-01-04 10:51:00","Ciudad Autónoma de Buenos Aires","02"
"410806","Víctima","Femenino","Madre","Psicológica","Sin dato","Sin dato","Femenino","3","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-01-04 11:03:00","Ciudad Autónoma de Buenos Aires","02"
"202826","Familiar","NS/NC","Madre","Psicológica","Sin dato","Sin dato","Femenino","2","1","Masculino","Padre","Llamante solicitó información y/o orientación","2019-01-04 11:20:00","Ciudad Autónoma de Buenos Aires","02"
"410808","Comisaría","Femenino","No hay niñas/os","Física y psicológica","23","18 a 29 años","Femenino","1","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-01-04 13:23:00","Ciudad Autónoma de Buenos Aires","02"
"410816","Otra/o sobre una situación de conflicto familiar","Femenino","Sin datos","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2019-01-04 13:59:00","Ciudad Autónoma de Buenos Aires","02"
"410817","Comisaría","Masculino","Otra/o no familiar","Física y psicológica","4","0 a 5 años","Masculino","1","1","NS/NC","NS/NC","Llamante solicitó información y/o orientación","2019-01-04 14:02:00","Ciudad Autónoma de Buenos Aires","02"
"410828","Víctima","Femenino","Madre","Psicológica","Sin dato","Sin dato","Femenino","3","1","Masculino","Hijo/a","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-01-04 17:14:00","Ciudad Autónoma de Buenos Aires","02"
"410838","Comisaría","Masculino","No hay niñas/os","Física y psicológica","33","30 a 39 años","Femenino","2","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-01-04 19:16:00","Ciudad Autónoma de Buenos Aires","02"
"410839","NS/NC","Femenino","Madre","Física y psicológica","1","0 a 5 años","Femenino","1","2","NS/NC","NS/NC","Llamante solicitó información y/o orientación","2019-01-04 19:28:00","Ciudad Autónoma de Buenos Aires","02"
"410846","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","43","40 a 49 años","Femenino","1","1","Masculino","Pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-01-05 00:31:00","Ciudad Autónoma de Buenos Aires","02"
"410847","Otra/o sobre una situación de conflicto familiar","Masculino","Padre","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2019-01-05 01:38:00","Ciudad Autónoma de Buenos Aires","02"
"410848","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","33","30 a 39 años","Femenino","2","1","Masculino","Pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-01-05 02:18:00","Ciudad Autónoma de Buenos Aires","02"
"410849","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","37","30 a 39 años","Femenino","1","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-01-05 07:56:00","Ciudad Autónoma de Buenos Aires","02"
"410868","Familiar","Femenino","Madre","Psicológica","Sin dato","Sin dato","Femenino","1","1","Masculino","Ex pareja","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-01-05 11:06:00","Ciudad Autónoma de Buenos Aires","02"
"410870","Víctima","Femenino","No hay niñas/os","Física y psicológica","71","Más de 60 años","Femenino","1","1","Masculino","Pareja","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-01-05 11:37:00","Ciudad Autónoma de Buenos Aires","02"
"410882","Comisaría","Masculino","Otra/o no familiar","Física y psicológica","24","18 a 29 años","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-01-05 12:33:00","Ciudad Autónoma de Buenos Aires","02"
"410883","Otra/o sobre una situación de conflicto familiar","Femenino","Sin datos","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2019-01-05 12:36:00","Ciudad Autónoma de Buenos Aires","02"
"410885","Víctima","Femenino","No hay niñas/os","Física y psicológica","19","18 a 29 años","Femenino","1","2","Masculino","Padre","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-01-05 13:02:00","Ciudad Autónoma de Buenos Aires","02"
"410891","Otra Institución","Femenino","Otra/o no familiar","Física y psicológica","19","18 a 29 años","Femenino","1","1","Masculino","Hermano/a","La víctima no aceptó la intervención del Equipo Móvil","2019-01-05 13:33:00","Ciudad Autónoma de Buenos Aires","02"
"410898","Comisaría","Femenino","No hay niñas/os","Física y psicológica","Sin dato","Sin dato","Femenino","1","1","Masculino","Ex pareja","No había móviles y/o Equipos para realizar la intervención","2019-01-05 13:45:00","Ciudad Autónoma de Buenos Aires","02"
"410899","Víctima","Masculino","No hay niñas/os","Física y psicológica","32","30 a 39 años","Masculino","2","1","Masculino","Hermano/a","Llamante solicitó información y/o orientación","2019-01-05 14:43:00","Ciudad Autónoma de Buenos Aires","02"
"410900","Vecina/o","Masculino","Otra/o no familiar","Psicológica","Sin dato","Sin dato","Femenino","1","1","Masculino","NS/NC","Llamante solicitó información y/o orientación","2019-01-05 15:04:00","Ciudad Autónoma de Buenos Aires","02"
"410902","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","35","30 a 39 años","Femenino","1","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-01-05 17:47:00","Ciudad Autónoma de Buenos Aires","02"
"410903","Víctima","Femenino","Madre","Psicológica","37","30 a 39 años","Femenino","1","1","Masculino","Ex pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-01-05 18:07:00","Ciudad Autónoma de Buenos Aires","02"
"410904","Víctima","Femenino","No hay niñas/os","Psicológica","60","Más de 60 años","Femenino","1","2","Masculino","Hijo/a","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-01-05 19:35:00","Ciudad Autónoma de Buenos Aires","02"
"410905","Familiar","Femenino","Otra/o familiar","Psicológica","3","0 a 5 años","Femenino","1","1","Femenino","Madre","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-01-05 21:39:00","Ciudad Autónoma de Buenos Aires","02"
"410906","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","46","40 a 49 años","Femenino","4","1","Masculino","Pareja","No había móviles y/o Equipos para realizar la intervención","2019-01-05 23:27:00","Ciudad Autónoma de Buenos Aires","02"
"410907","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","36","30 a 39 años","Femenino","2","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-01-05 23:56:00","Ciudad Autónoma de Buenos Aires","02"
"410909","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","37","30 a 39 años","Femenino","3","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-01-06 01:47:00","Ciudad Autónoma de Buenos Aires","02"
"410658","Comisaría","Masculino","No hay niñas/os","Física y psicológica","59","50 a 59 años","Femenino","1","1","Femenino","Hermano/a","Llamante solicitó información y/o orientación","2019-01-06 02:09:00","Ciudad Autónoma de Buenos Aires","02"
"410910","Comisaría","Masculino","Otra/o no familiar","Física y psicológica","53","50 a 59 años","Femenino","1","1","Masculino","Pareja","No había móviles y/o Equipos para realizar la intervención","2019-01-06 02:12:00","Ciudad Autónoma de Buenos Aires","02"
"410663","Comisaría","Masculino","Otra/o no familiar","Física y psicológica","22","18 a 29 años","Femenino","1","2","Femenino","Otro/a no conviviente","La víctima no aceptó la intervención del Equipo Móvil","2019-01-06 02:18:00","Ciudad Autónoma de Buenos Aires","02"
"410912","Comisaría","Masculino","No hay niñas/os","Física y psicológica","52","50 a 59 años","Femenino","1","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-01-06 04:23:00","Ciudad Autónoma de Buenos Aires","02"
"410913","Comisaría","Masculino","No hay niñas/os","Física y psicológica","37","30 a 39 años","Femenino","1","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-01-06 07:52:00","Ciudad Autónoma de Buenos Aires","02"
"410914","Comisaría","Femenino","Otra/o no familiar","Física y psicológica","38","30 a 39 años","Femenino","2","1","Masculino","Pareja","Desplazamiento de un Equipo Móvil a donde se encontraba la/s víctima/s","2019-01-06 10:25:00","Ciudad Autónoma de Buenos Aires","02"
"410915","Comisaría","Femenino","No hay niñas/os","Física y psicológica","22","18 a 29 años","Femenino","1","1","Masculino","Pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-01-06 11:07:00","Ciudad Autónoma de Buenos Aires","02"
"410916","Comisaría","Masculino","No hay niñas/os","Física y psicológica","35","30 a 39 años","Femenino","1","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-01-06 11:43:00","Ciudad Autónoma de Buenos Aires","02"
"410930","Víctima","Femenino","Madre","Física y psicológica","36","30 a 39 años","Femenino","4","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-01-06 16:57:00","Ciudad Autónoma de Buenos Aires","02"
"410931","Comisaría","Masculino","Otra/o no familiar","Física y psicológica","38","30 a 39 años","Femenino","2","1","Masculino","Padre","No había móviles y/o Equipos para realizar la intervención","2019-01-06 17:01:00","Ciudad Autónoma de Buenos Aires","02"
"410932","Familiar","Femenino","Otra/o familiar","Física y psicológica","3","0 a 5 años","Femenino","2","1","Femenino","Madre","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-01-06 17:16:00","Ciudad Autónoma de Buenos Aires","02"
"410933","Víctima","Femenino","No hay niñas/os","Física y psicológica","74","Más de 60 años","Femenino","1","1","Femenino","Otro/a conviviente","Llamante solicitó información y/o orientación","2019-01-06 17:54:00","Ciudad Autónoma de Buenos Aires","02"
"410935","Víctima","Femenino","Madre","Psicológica","30","30 a 39 años","Femenino","2","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-01-06 18:11:00","Ciudad Autónoma de Buenos Aires","02"
"410936","Comisaría","Masculino","No hay niñas/os","Física y psicológica","25","18 a 29 años","Masculino","1","1","Femenino","Hermano/a","Llamante solicitó información y/o orientación","2019-01-06 18:45:00","Ciudad Autónoma de Buenos Aires","02"
"410937","Comisaría","Masculino","Madre","Económica, física y psicológica","32","30 a 39 años","Femenino","2","1","Masculino","Ex pareja","La víctima no aceptó la intervención del Equipo Móvil","2019-01-06 19:01:00","Ciudad Autónoma de Buenos Aires","02"
"410938","Víctima","Femenino","No hay niñas/os","Psicológica","44","40 a 49 años","Femenino","1","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-01-06 19:16:00","Ciudad Autónoma de Buenos Aires","02"
"410939","Comisaría","Masculino","No hay niñas/os","Física y psicológica","28","18 a 29 años","Femenino","1","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-01-06 19:26:00","Ciudad Autónoma de Buenos Aires","02"
"410940","Familiar","Femenino","Otra/o familiar","Física y psicológica","10","6 a 11 años","Femenino","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-01-06 19:34:00","Ciudad Autónoma de Buenos Aires","02"
"410941","Comisaría","Masculino","No hay niñas/os","Física y psicológica","26","18 a 29 años","Femenino","1","1","Masculino","Pareja","Llamante solicitó información y/o orientación","2019-01-06 21:26:00","Ciudad Autónoma de Buenos Aires","02"
"410942","Víctima","Femenino","Madre","Psicológica","36","30 a 39 años","Femenino","2","1","Masculino","Ex pareja","Llamante solicitó información y/o orientación","2019-01-06 21:29:00","Ciudad Autónoma de Buenos Aires","02"
"410943","Otra/o sobre una situación de conflicto familiar","Femenino","Madre","No aplica","Sin dato","Sin dato","NS/NC","0","0","NS/NC","NS/NC","Se trata de un conflicto familiar","2019-01-06 21:48:00","Ciudad Autónoma de Buenos Aires","02"
"410944","Comisaría","Masculino","Otra/o no familiar","Psicológica","Sin dato","Sin dato","Femenino","1","2","NS/NC","NS/NC","Llamante solicitó información y/o orientación","2019-01-06 23:57:00","Ciudad Autónoma de Buenos Aires","02"
"410945","Vecina/o","Femenino","Otra/o no familiar","Física y psicológica","1","0 a 5 años","Masculino","1","2","Masculino","Madre","No se desplazó un  Equipo móvil por tratarse de un caso fuera de CABA","2019-01-07 00:08:00","Ciudad Autónoma de Buenos Aires","02"
"410946","Comisaría","Masculino","No hay niñas/os","Psicológica","32","30 a 39 años","Femenino","1","1","Masculino","Padre","La víctima no aceptó la intervención del Equipo Móvil","2019-01-07 02:51:00","Ciudad Autónoma de Buenos Aires","02"
